Local;SousFamille;Code-equipement;Code-fils;PDR;designation;caractéristiques;Fournisseur;Fabriquant;Installateur;Marque;plans associés;Manuel;fiche maintenance;chargement
B226;4CSV01;4CSV01-37;;;Cam-Fixe-37;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B186;4CSV01;4CSV01-38;;;Cam-Fixe-38;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B186;4CSV01;4CSV01-39;;;Cam-Fixe-39;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B165;4CSV01;4CSV01-40;;;Cam-Fixe-40;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B125;4CSV01;4CSV01-41;;;Cam-Fixe-41;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B221;4CSV01;4CSV01-42;;;Cam-Fixe-42;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B219;4CSV01;4CSV01-43;;;Cam-Fixe-43;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B251;4CSV01;4CSV01-44;;;Cam-Fixe-44;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B222;4CSV01;4CSV01-45;;;Cam-Fixe-45;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B226;4CSV01;4CSV01-46;;;Cam-Fixe-46;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B233;4CSV01;4CSV01-47;;;Cam-Fixe-47;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B233;4CSV01;4CSV01-48;;;Cam-Fixe-48;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B235;4CSV01;4CSV01-49;;;Cam-Fixe-49;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B234;4CSV01;4CSV01-50;;;Cam-Fixe-50;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
G2;4CSV01;4CSV01-51;;;Cam-Fixe-51;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G4;4CSV01;4CSV01-52;;;Cam-Fixe-52;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G6;4CSV01;4CSV01-53;;;Cam-Fixe-53;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G30;4CSV01;4CSV01-54;;;Cam-Fixe-54;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G18;4CSV01;4CSV01-55;;;Cam-Fixe-55;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G41;4CSV01;4CSV01-56;;;Cam-Fixe-56;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G34;4CSV01;4CSV01-57;;;Cam-Fixe-57;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G43;4CSV01;4CSV01-58;;;Cam-Fixe-58;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G43;4CSV01;4CSV01-59;;;Cam-Fixe-59;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G486;4CSV01;4CSV01-60;;;Cam-Fixe-60;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G48;4CSV01;4CSV01-61;;;Cam-Fixe-61;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G54;4CSV01;4CSV01-62;;;Cam-Fixe-62;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G251;4CSV01;4CSV01-63;;;Cam-Fixe-63;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G253;4CSV01;4CSV01-64;;;Cam-Fixe-64;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G253;4CSV01;4CSV01-65;;;Cam-Fixe-65;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G255;4CSV01;4CSV01-66;;;Cam-Fixe-66;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G484;4CSV01;4CSV01-67;;;Cam-Fixe-67;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G323;4CSV01;4CSV01-68;;;Cam-Fixe-68;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
